Postal Code,15 to 19 years - Counts - Total,20 to 24 years - Counts - Total,25 to 29 years - Counts - Total,Between 7 a.m. and 7:59 a.m. - Counts - Total,Between 8 a.m. and 8:59 a.m. - Counts - Total,Bicycle - Counts - Total,"Population, 2021 - Counts - Total",Public transit - Counts - Total,Total - Main mode of commuting - Counts - Total,Total - Place of work status - Counts - Total,Total - Time leaving for work - Counts - Total,Walked - Counts - Total,Worked at home - Counts - Total,percentage_leaving_early_morning,percentage_bicycle,percentage_walked,percentage_transit,percentage_commuting,percentage_car,number_car,percentage_WFH,percentage_15_to_29,sum_15_to_29
M4N,1125,890,715,695,1115,40,16058,705,3065,6820,3065,295,3695,59.05383360522023,1.3050570962479608,9.624796084828711,23.00163132137031,33.931484502446985,66.06851549755302,2025,54.17888563049853,17.000871839581517,2730
M4P,855,1500,3110,1610,1925,175,25057,2560,6735,14115,6735,825,7335,52.48700816629547,2.5983667409057167,12.24944320712695,38.01039346696362,52.85820341499628,47.14179658500372,3175,51.965993623804465,21.810272578520973,5465
M4R,795,665,825,655,785,55,11909,825,2645,6190,2645,265,3505,54.44234404536862,2.0793950850661624,10.01890359168242,31.190926275992435,43.28922495274102,56.71077504725898,1500,56.62358642972536,19.1871693677051,2285
M4S,1115,1420,3165,1755,2260,160,30754,2860,7385,17145,7385,820,9655,54.36696005416385,2.1665538253215977,11.103588354773189,38.72714962762356,51.99729180771835,48.00270819228165,3545,56.313794109069704,18.534174416336086,5700
M4T,455,480,610,425,600,60,10332,560,1920,4935,1920,250,2985,53.385416666666664,3.125,13.020833333333334,29.166666666666668,45.3125,54.6875,1050,60.48632218844985,14.953542392566781,1545
M4V,695,855,1580,1095,1380,140,19273,1190,4575,10320,4575,790,5670,54.09836065573771,3.060109289617486,17.26775956284153,26.010928961748636,46.33879781420765,53.66120218579235,2455,54.94186046511628,16.24033622165724,3130
M5N,1140,980,870,980,1165,70,16154,1025,4050,7710,4050,300,3610,52.96296296296297,1.728395061728395,7.4074074074074066,25.308641975308642,34.44444444444444,65.55555555555556,2655,46.82230869001297,18.509347530023522,2990
M5P,1025,1060,1585,1050,1365,145,19791,1280,4865,10275,4865,455,5380,49.64028776978417,2.9804727646454263,9.352517985611511,26.3103802672148,38.643371017471736,61.356628982528264,2985,52.360097323600975,18.54378252741145,3670
M5R,745,1760,2940,1145,1980,455,26197,1540,6095,13835,6095,1440,7630,51.271534044298605,7.465135356849877,23.625922887612795,25.26661197703035,56.35767022149303,43.64232977850697,2660,55.14998192988797,20.78482268962095,5445
